symbol,interval,time,close,rsi,stochRsi,k,d
GMTEUR,1w,2026-03-08T23:59:59.999Z,0.01,28.2723,0.2295,0.2749,0.3121
WIFEUR,1d,2026-04-16T23:59:59.999Z,0.19,62.7276,1.0000,0.6650,0.5743
BTCEUR,1h,2026-08-05T07:59:59.999Z,55578.84,51.8867,0.0898,0.2939,0.3230
XRPEUR,1d,2026-08-04T23:59:59.999Z,0.93,42.6451,0.2244,0.2791,0.1994
IDEUR,1h,2023-10-27T05:59:59.999Z,0.19,37.9103,0.0000,0.0000,0.0520
ETHEUR,1h,2026-08-05T07:59:59.999Z,1621.81,51.3571,0.5568,0.4777,0.3944
APTEUR,1h,2026-08-05T07:59:59.999Z,0.50,59.3759,0.3004,0.3171,0.4507
XLMEUR,1d,2026-08-04T23:59:59.999Z,0.15,35.9963,0.0000,0.1251,0.1112
JASMYEUR,1d,2023-05-17T23:59:59.999Z,0.00,39.0072,0.1752,0.1203,0.0965
ADAEUR,1h,2026-08-05T07:59:59.999Z,0.17,55.1344,1.0000,0.4051,0.1636
YFIEUR,1w,2023-10-08T23:59:59.999Z,5065.00,39.8301,0.3521,0.2624,0.1643
BCHEUR,1M,2026-07-31T23:59:59.999Z,182.30,37.4744,0.0284,0.0095,0.0545
JASMYEUR,1w,2023-05-14T23:59:59.999Z,0.00,42.7278,0.2189,0.7155,0.8091
PEPEEUR,1d,2026-08-04T23:59:59.999Z,0.00,54.9351,0.5460,0.5897,0.4318
ENJEUR,1h,2023-10-20T03:59:59.999Z,0.19,38.6866,0.4951,0.4951,0.4401
ETHEUR,1w,2026-08-02T23:59:59.999Z,1630.77,41.9565,0.8141,0.8648,0.7726
RENDEREUR,1h,2026-08-05T07:59:59.999Z,1.17,53.1720,0.9901,0.9484,0.6811
BCHEUR,1h,2026-08-05T07:59:59.999Z,181.90,33.0556,0.0000,0.1410,0.1582
APEEUR,1h,2023-12-29T00:59:59.999Z,1.51,32.6132,0.0000,0.2041,0.2774
RUNEEUR,1d,2024-01-25T23:59:59.999Z,3.72,38.1543,0.3323,0.2687,0.2250
EDUEUR,1d,2023-10-26T23:59:59.999Z,0.44,59.4059,0.8798,0.9599,0.9665
BTTEUR,1d,2022-01-16T23:59:59.999Z,0.00,49.1477,0.8424,0.5431,0.4163
ADAEUR,1d,2026-08-04T23:59:59.999Z,0.17,66.1822,0.9528,0.9843,0.9530
TRUMPEUR,1w,2026-04-12T23:59:59.999Z,2.40,30.6488,0.4490,0.4811,0.5752
PNUTEUR,1w,2026-02-01T23:59:59.999Z,0.05,31.5089,0.1934,0.4170,0.5655
ETCEUR,1w,2023-12-24T23:59:59.999Z,19.09,56.8459,0.7219,0.7848,0.8287
WLFIEUR,1w,2026-08-02T23:59:59.999Z,0.05,29.4908,0.6878,0.7609,0.7940
WINEUR,1h,2026-08-05T07:59:59.999Z,0.00,24.4380,0.0000,0.2914,0.3645
SEUR,1h,2026-08-05T07:59:59.999Z,0.02,44.2183,0.9213,0.8418,0.5988
UNIEUR,1h,2023-05-04T01:59:59.999Z,4.86,58.3619,0.8087,0.8399,0.9036
ENAEUR,1d,2024-08-22T23:59:59.999Z,0.27,40.4196,0.5424,0.5533,0.5734
BCHEUR,1d,2026-08-04T23:59:59.999Z,184.90,44.3614,0.8065,0.6584,0.4435
GMTEUR,1d,2026-03-12T23:59:59.999Z,0.01,45.5256,0.8797,0.5876,0.4414
EDUEUR,1h,2023-10-27T05:59:59.999Z,0.44,35.6846,0.0000,-0.0000,-0.0000
SUIEUR,1M,2026-07-31T23:59:59.999Z,0.59,38.8271,0.0000,0.0019,0.0038
UNIEUR,1w,2023-04-30T23:59:59.999Z,4.98,41.8787,0.0215,0.1263,0.2043
BTCUSDC,1d,2026-08-04T23:59:59.999Z,64065.29,50.5039,0.4335,0.2836,0.1647
BTCEUR,1w,2026-08-02T23:59:59.999Z,55023.08,38.7457,0.3216,0.4050,0.3906
ARBEUR,1d,2026-04-16T23:59:59.999Z,0.11,72.2853,1.0000,0.7764,0.7162
SOLUSDC,1M,2026-07-31T23:59:59.999Z,72.80,39.1632,0.0000,-0.0000,0.0000
GALAEUR,1M,2026-01-31T23:59:59.999Z,0.00,30.1474,0.0000,0.0594,0.1625
ZILEUR,1h,2022-11-18T01:59:59.999Z,0.02,52.8865,1.0000,0.8343,0.7535
LTCEUR,1d,2026-08-04T23:59:59.999Z,38.95,45.2959,0.2242,0.1232,0.0690
XRPEUR,1w,2026-08-02T23:59:59.999Z,0.94,33.8724,0.4295,0.4853,0.4837
PEPEUSDC,1d,2026-08-04T23:59:59.999Z,0.00,55.4248,0.6183,0.6793,0.5240
WLDEUR,1w,2026-08-02T23:59:59.999Z,0.27,41.3598,0.3969,0.4597,0.5217
BTCUSDC,1w,2026-08-02T23:59:59.999Z,63519.12,38.8537,0.3252,0.3734,0.3540
ETHUSDC,1w,2026-08-02T23:59:59.999Z,1883.69,41.9585,0.7816,0.8003,0.7086
LUNAEUR,1w,2022-05-08T23:59:59.999Z,61.07,48.6872,0.0091,0.2812,0.3638
TRXEUR,1d,2026-08-04T23:59:59.999Z,0.28,45.9303,0.1986,0.2251,0.1897
DOGEEUR,1M,2026-07-31T23:59:59.999Z,0.06,40.8553,0.0000,0.0292,0.0592
NOTEUR,1h,2025-02-21T01:59:59.999Z,0.00,67.9616,1.0000,1.0000,1.0000
OPEUR,1h,2026-02-27T01:59:59.999Z,0.10,38.4137,0.8655,0.7369,0.5991
BTTEUR,1h,2022-01-17T02:59:59.999Z,0.00,78.1190,0.9151,0.9717,0.9904
WINEUR,1d,2026-08-04T23:59:59.999Z,0.00,68.2666,0.2407,0.5953,0.6447
SUIEUR,1h,2026-08-05T07:59:59.999Z,0.60,43.4463,0.2808,0.2914,0.2094
GRTEUR,1d,2026-02-26T23:59:59.999Z,0.02,42.0242,0.5957,0.6936,0.6458
GALAEUR,1w,2026-02-22T23:59:59.999Z,0.00,27.8116,0.0000,-0.0000,0.0302
APEEUR,1w,2023-12-24T23:59:59.999Z,1.57,45.7393,0.9108,0.9266,0.9512
BTCUSDC,1h,2026-08-05T07:59:59.999Z,64123.90,53.2918,0.0825,0.3149,0.3326
LUNAEUR,1d,2022-05-12T23:59:59.999Z,0.00,14.4165,0.0000,-0.0000,-0.0000
BNBEUR,1M,2026-07-31T23:59:59.999Z,508.80,46.3698,0.0585,0.0784,0.0685
ARBEUR,1M,2026-03-31T23:59:59.999Z,0.08,32.9784,0.0000,0.0000,0.0000
AVAXEUR,1M,2026-07-31T23:59:59.999Z,5.54,39.0978,0.0000,-0.0000,0.0008
APEEUR,1d,2023-12-28T23:59:59.999Z,1.54,50.3128,0.3488,0.4707,0.5682
ICPEUR,1w,2026-08-02T23:59:59.999Z,1.79,41.3773,0.0130,0.0948,0.1339
SOLEUR,1M,2026-07-31T23:59:59.999Z,63.15,40.5473,0.0000,-0.0000,0.0004
ETHUSDC,1M,2026-07-31T23:59:59.999Z,1860.99,43.2298,0.1355,0.0575,0.0648
SUIEUR,1w,2026-08-02T23:59:59.999Z,0.60,36.1957,0.1174,0.2022,0.2510
TRXEUR,1w,2026-08-02T23:59:59.999Z,0.28,51.8500,0.0310,0.1481,0.1952
LUNAEUR,1h,2022-05-12T23:59:59.999Z,0.00,23.3952,0.5449,0.6757,0.7891
APTEUR,1d,2026-08-04T23:59:59.999Z,0.50,44.5077,0.5721,0.4338,0.2930
XRPEUR,1M,2026-07-31T23:59:59.999Z,0.92,40.9279,0.0078,0.0026,0.0022
ATOMEUR,1h,2026-08-05T07:59:59.999Z,1.17,42.9888,0.0000,0.0429,0.0704
YFIEUR,1d,2023-10-12T23:59:59.999Z,4841.00,41.4554,0.0592,0.0326,0.0768
NOTEUR,1d,2025-02-20T23:59:59.999Z,0.00,35.9125,1.0000,0.8949,0.8978
WLDEUR,1h,2026-08-05T07:59:59.999Z,0.28,47.4124,0.3337,0.7142,0.8066
DOTEUR,1w,2026-08-02T23:59:59.999Z,0.69,28.1482,0.1572,0.2042,0.2345
APTEUR,1M,2026-07-31T23:59:59.999Z,0.48,35.5348,0.0000,0.0102,0.0198
OPEUR,1d,2026-02-26T23:59:59.999Z,0.10,23.5315,0.1986,0.1523,0.0795
RENDEREUR,1d,2026-08-04T23:59:59.999Z,1.17,32.8437,0.1711,0.2486,0.1863
BNBEUR,1h,2026-08-05T07:59:59.999Z,519.79,58.5374,0.2472,0.3619,0.3739
SOLEUR,1w,2026-08-02T23:59:59.999Z,63.72,38.5687,0.6210,0.7388,0.8006
XLMEUR,1M,2026-07-31T23:59:59.999Z,0.15,46.3575,0.1191,0.2685,0.2275
XRPEUR,1h,2026-08-05T07:59:59.999Z,0.92,38.8304,0.0314,0.1424,0.1223
ETHUSDC,1h,2026-08-05T07:59:59.999Z,1871.17,52.5314,0.5425,0.5078,0.4215
ATOMEUR,1d,2026-08-04T23:59:59.999Z,1.18,42.5911,0.9955,0.8325,0.5002
GALAEUR,1d,2026-02-26T23:59:59.999Z,0.00,37.2507,0.7125,0.6718,0.5079
SUIEUR,1d,2026-08-04T23:59:59.999Z,0.60,42.0524,0.3291,0.2498,0.1511
GRTEUR,1w,2026-02-22T23:59:59.999Z,0.02,25.9219,0.0000,0.0017,0.0133
ENAEUR,1h,2024-08-23T01:59:59.999Z,0.28,67.9792,1.0000,0.9093,0.7377
JASMYEUR,1h,2023-05-18T01:59:59.999Z,0.00,49.2469,0.2384,0.6022,0.7784
ETCEUR,1d,2023-12-28T23:59:59.999Z,20.38,59.7469,0.9278,0.7457,0.6616
SOLUSDC,1w,2026-08-02T23:59:59.999Z,73.56,38.4265,0.6074,0.6945,0.7462
BTCEUR,1M,2026-07-31T23:59:59.999Z,54506.95,42.7827,0.0709,0.0711,0.1006
LINKEUR,1h,2026-08-05T07:59:59.999Z,7.07,46.7813,0.6440,0.7421,0.5860
GRTEUR,1M,2026-01-31T23:59:59.999Z,0.03,39.1927,0.0000,0.0000,0.0000
DOGEEUR,1h,2026-08-05T07:59:59.999Z,0.06,41.7916,0.2636,0.3229,0.2930
TRXEUR,1h,2026-08-05T07:59:59.999Z,0.28,42.6765,0.5769,0.3200,0.1970
BNBEUR,1d,2026-08-04T23:59:59.999Z,513.86,56.7977,0.8902,0.7924,0.6315
CHZEUR,1d,2024-08-22T23:59:59.999Z,0.05,48.7637,1.0000,0.9928,0.9355
LINKEUR,1M,2026-07-31T23:59:59.999Z,7.08,41.9163,0.0941,0.0437,0.0302
NEAREUR,1M,2026-07-31T23:59:59.999Z,1.44,40.5527,0.6168,0.7734,0.6098
APTEUR,1w,2026-08-02T23:59:59.999Z,0.49,30.8510,0.2119,0.2751,0.2902
